filename,A11,A12,A21,A22,obstacle_center_x,obstacle_center_y,radius
scenario_0_0.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,3,5,0.7
scenario_0_1.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,5,9,0.7
scenario_0_2.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,3,3,0.7
scenario_0_3.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,-3,3,0.7
scenario_0_4.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,-6,8,0.7
scenario_0_5.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,3,-5,0.7
scenario_0_6.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,-3,-3,0.7
scenario_0_7.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,-3,-8,0.7
scenario_0_8.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,3,-3,0.7
scenario_0_9.npz,-0.9529463549797659,-2.062463549878308,1.7656670349815076,-1.2492935645250716,-3,-3,0.7
scenario_1_0.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,3,5,0.7
scenario_1_1.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,5,9,0.7
scenario_1_2.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,3,3,0.7
scenario_1_3.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,-3,3,0.7
scenario_1_4.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,-6,8,0.7
scenario_1_5.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,3,-5,0.7
scenario_1_6.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,-3,-3,0.7
scenario_1_7.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,-3,-8,0.7
scenario_1_8.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,3,-3,0.7
scenario_1_9.npz,-1.1193708280096342,-2.3101212869739243,2.0886418013139743,-0.9037040472159814,-3,-3,0.7
scenario_2_0.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,3,5,0.7
scenario_2_1.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,5,9,0.7
scenario_2_2.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,3,3,0.7
scenario_2_3.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,-3,3,0.7
scenario_2_4.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,-6,8,0.7
scenario_2_5.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,3,-5,0.7
scenario_2_6.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,-3,-3,0.7
scenario_2_7.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,-3,-8,0.7
scenario_2_8.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,3,-3,0.7
scenario_2_9.npz,-1.1934400821037618,-1.856376665722223,1.774587240736187,-1.081293283937543,-3,-3,0.7
scenario_3_0.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,3,5,0.7
